ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
23753377;57.3;19.4;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23737591;0;0;0;0;0;0;0;0;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23753512;57.2;19.4;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23753464;0;0;0;0;0.912;578.681;0;0;0;-0.013;0.013;1;23753465;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23753705;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23753657;0;0;0;0;0.912;578.733;0;0;0;-0.013;0.013;1;23753657;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23753851;57.3;19.4;0;0;0;16.8;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23753803;0;0;0;0;0.912;578.768;0;0;0;-0.013;0.013;1;23753803;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23754000;57.2;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23753950;0;0;0;0;0.912;578.815;0;0;0;-0.013;0.013;1;23753950;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23754099;57.3;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23754096;0;0;0;0;0.912;578.797;0;0;0;-0.013;0.013;1;23754096;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23754244;57.2;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23754096;0;0;0;0;0.912;578.797;0;0;0;-0.013;0.013;1;23754096;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23754439;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23754244;0;0;0;0;0.912;578.817;0;0;0;-0.013;0.013;1;23754374;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23754592;57.2;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23754439;0;0;0;0;0.912;578.863;0;0;0;-0.013;0.013;1;23754585;0;0;0;0;0;0;0;0;0;23753272;54.69462570;25.25053080;131.70001221;0.00000000;0.00000000;1622.20898438;323.12759399;
23754783;57.3;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23754592;0;0;0;0;0.912;578.82;0;0;0;-0.013;0.013;1;23754733;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23754882;57.2;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23754784;0;0;0;0;0.912;578.795;0;0;0;-0.013;0.013;1;23754834;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
23754978;57.2;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0.001;23754882;0;0;0;0;0.912;578.78;0;0;0;-0.013;0.013;1;23754944;0;0;0;0;0;0;0;0;0;23754695;54.69462740;25.25053060;131.70001221;0.00000000;0.00000000;20.00000000;1.60825777;
